scenario,load_met_rate,unmet_energy,cloud_cover,load_type
1,100.0,0.0,0.133807207442646,mixed
2,100.0,0.0,0.19688098846185656,commercial
3,100.0,0.0,0.23945811143500778,residential
4,100.0,0.0,0.6861128347911545,commercial
5,100.0,0.0,0.606146097698304,mixed
6,100.0,0.0,0.5970624307476958,residential
7,100.0,0.0,0.3256298567253092,commercial
8,100.0,0.0,0.2180726560318544,commercial
9,100.0,0.0,0.35033727551079225,commercial
10,100.0,0.0,0.3833390302295254,commercial
11,87.5,2.532676740894371,0.21935538084739364,mixed
12,100.0,0.0,0.13759705549140114,commercial
13,100.0,0.0,0.12747842528675726,residential
14,100.0,0.0,0.7135374273186352,commercial
15,100.0,0.0,0.7227227465166376,commercial
16,100.0,0.0,0.6646603623362406,residential
17,100.0,0.0,0.47770558548593023,residential
18,100.0,0.0,0.47287497150252866,commercial
19,100.0,0.0,0.4886830352000008,residential
20,100.0,0.0,0.4892697918696137,residential
21,100.0,0.0,0.2450417618716715,residential
22,100.0,0.0,0.08548126726154005,residential
23,100.0,0.0,0.2361328706520488,commercial
24,100.0,0.0,0.5494382631986996,residential
25,100.0,0.0,0.5277517755617707,residential
26,100.0,0.0,0.5092700928303485,residential
27,100.0,0.0,0.5785457431054926,residential
28,100.0,0.0,0.5782503685216173,mixed
29,100.0,0.0,0.5058696007202852,residential
30,100.0,0.0,0.3666315823252369,commercial
31,100.0,0.0,0.06216641195534539,commercial
32,100.0,0.0,0.26607260149372336,residential
33,100.0,0.0,0.14572993621346983,residential
34,100.0,0.0,0.668031836617332,commercial
35,100.0,0.0,0.706798667325182,residential
36,100.0,0.0,0.7651098330355344,residential
37,100.0,0.0,0.39405458823932704,residential
38,100.0,0.0,0.3533026977767348,commercial
39,100.0,0.0,0.32124276080390285,mixed
40,100.0,0.0,0.5328379810120356,residential
41,100.0,0.0,0.2882070191079985,mixed
42,100.0,0.0,0.12288845405006545,residential
43,100.0,0.0,0.08479174817503209,residential
44,100.0,0.0,0.6925019448979546,residential
45,87.5,0.9182353768427511,0.7226561001849188,commercial
46,100.0,0.0,0.5023097672140057,residential
47,91.66666666666666,1.0870085516953591,0.30131953936676475,mixed
48,100.0,0.0,0.4596142322911919,commercial
49,100.0,0.0,0.40060416218782413,commercial
50,91.66666666666666,1.4333421469471732,0.2637199688724272,mixed
51,100.0,0.0,0.09250528622838043,residential
52,100.0,0.0,0.05448947235705609,mixed
53,100.0,0.0,0.2664479369838101,residential
54,100.0,0.0,0.740644292258972,residential
55,100.0,0.0,0.7398470711101874,residential
56,83.33333333333334,2.919012513799844,0.581894246120698,mixed
57,100.0,0.0,0.38194089699391753,commercial
58,100.0,0.0,0.4590233236678299,residential
59,100.0,0.0,0.4610601205871081,commercial
60,100.0,0.0,0.21871610695455584,residential
61,83.33333333333334,3.057475350352623,0.1867970616608609,residential
62,100.0,0.0,0.10586980663231023,commercial
63,100.0,0.0,0.26981583309512075,mixed
64,100.0,0.0,0.5156798573352267,commercial
65,100.0,0.0,0.7458857486922038,commercial
66,100.0,0.0,0.5957888807806625,mixed
67,100.0,0.0,0.43870941713091505,commercial
68,100.0,0.0,0.5897713497569563,commercial
69,100.0,0.0,0.43537062137286825,residential
70,100.0,0.0,0.2588617280180394,residential
71,83.33333333333334,4.190745465651977,0.21430316456884924,mixed
72,100.0,0.0,0.14220264229161714,residential
73,100.0,0.0,0.003314080729434665,residential
74,100.0,0.0,0.6734240853597767,residential
75,100.0,0.0,0.5565592268811287,residential
76,100.0,0.0,0.7109193334169199,mixed
77,100.0,0.0,0.32373150018800934,commercial
78,100.0,0.0,0.20248216065654012,residential
79,100.0,0.0,0.38754174092449656,commercial
80,100.0,0.0,0.4485525476591969,residential
81,100.0,0.0,0.25488996093709854,commercial
82,100.0,0.0,0.2758182365226131,commercial
83,100.0,0.0,0.15511329934453705,commercial
84,100.0,0.0,0.7853278807319176,mixed
85,100.0,0.0,0.5190820105611978,residential
86,100.0,0.0,0.7367779537978612,commercial
87,100.0,0.0,0.42875196140871535,commercial
88,100.0,0.0,0.20266615208138497,mixed
89,100.0,0.0,0.5004964793459752,residential
90,100.0,0.0,0.3228403093151494,commercial
91,100.0,0.0,0.2829195047308807,mixed
92,100.0,0.0,0.25161559106065806,commercial
93,66.66666666666666,9.548134941460859,0.12377512124413376,mixed
94,100.0,0.0,0.7982082055531874,mixed
95,100.0,0.0,0.5482104785378091,commercial
96,100.0,0.0,0.5986368295396949,mixed
97,95.83333333333334,0.22121243185258743,0.5344123713718498,mixed
98,75.0,4.103401756789278,0.5423654996676516,mixed
99,100.0,0.0,0.20742914073060767,mixed
100,100.0,0.0,0.423922785936063,residential
