Hour,Avg_PV_Power_kW,Avg_Wind_Power_kW,Avg_Load_Demand_kW,Avg_Battery_SOC_Percent,Avg_Resilience_Score,Load_Met_Rate_Percent,Action
0,0.0,0.9155311486006339,1.3883730335960844,47.23484277780438,0.7266898888892981,100.0,discharge_full
1,0.21071534926807556,0.9843353956721546,1.0970378086327368,47.23484277780438,0.7266898888892981,100.0,discharge_full
2,0.41963953105741986,0.9525855857241977,1.1315297440601424,47.23484277780438,0.7266898888892981,100.0,discharge_full
3,0.6267725453680332,1.5232273117698223,1.331315284229622,49.395260400756655,0.7599270830885639,100.0,charge_half
4,0.832114392199915,1.5851421450179088,1.2268426111523203,55.678000566102384,0.8565846240938828,100.0,charge_full
5,1.0356650715530658,1.7481346496976198,1.0971195149900896,55.678000566102384,0.8565846240938828,100.0,discharge_half
6,0.8835198333127727,1.8394482060057498,1.289491094341529,59.46078694868056,0.9147813376720085,100.0,charge_half
7,1.373659668822801,1.9682739325642278,2.2559668604560694,65.19227808137173,0.9970418756712043,100.0,charge_full
8,2.229164633308362,1.9471693102731102,2.8511239623066484,72.1864418714333,0.889439355824103,100.0,charge_full
9,3.2017849310462663,2.1626618762245875,4.32128609429884,72.1864418714333,0.889439355824103,100.0,discharge_half
10,4.064885239461346,2.080735213323149,3.2009843573027283,87.7275768198093,0.650344972002934,100.0,charge_full
11,2.549413117244562,2.2051498484540977,3.703750253222426,87.7275768198093,0.650344972002934,100.0,discharge_half
12,4.1150952207993985,1.8959162664418046,4.99704079016886,87.7275768198093,0.650344972002934,100.0,discharge_full
13,3.368557152956616,2.521120350729968,4.573457222943681,87.7275768198093,0.650344972002934,100.0,discharge_full
14,3.6169129267376188,2.524642154843316,4.443791051493874,87.7275768198093,0.650344972002934,100.0,discharge_full
15,3.2124863247828723,2.3585440215263875,4.554735425376806,90.40946619449215,0.6090851354693514,100.0,charge_half
16,3.226072762580961,2.0089766847662442,4.0460690988641295,90.40946619449215,0.6090851354693514,100.0,discharge_full
17,0.7760886677242301,1.7958016338397509,4.276828083878389,80.43906980668861,0.7624758491278676,100.0,discharge_full
18,2.480313744855913,1.864035959349442,3.7763571103323272,80.43906980668861,0.7624758491278676,100.0,discharge_full
19,1.3176268612832087,1.7350820682549912,2.8312313201000796,80.43906980668861,0.7624758491278676,100.0,discharge_full
20,0.9950982290807343,1.738857395017234,2.502712901336876,80.43906980668861,0.7624758491278676,100.0,discharge_full
21,0.6679842081327081,1.6004383273404736,1.6273409501247451,80.43906980668861,0.7624758491278676,100.0,discharge_full
22,0.33628479843912995,1.522413997433448,1.5934358861026672,80.43906980668861,0.7624758491278676,100.0,discharge_full
23,0.0,1.3357070181385458,1.6627796782362692,78.52636419208204,0.791902089352584,100.0,discharge_full
